rep,mean_abs_r,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1
91,0.3648195877195143,39,3.37456790780427,2.0778549164533615,0.05327833119111183,0.20972490310668945,16
92,0.33244605569057517,41,3.42097332080898,1.9471520110964775,0.04749151246576774,0.1522645354270935,12
93,0.35930455365590314,41,3.272384684026686,2.060906007885933,0.05026600019233983,0.1875520944595337,15
94,0.38590097108549853,33,3.175069886981535,1.7328703254461288,0.052511221983216026,0.17782717943191528,17
95,0.3379153316146188,47,3.4999093521447855,2.128702074289322,0.04529153349551749,0.16171157360076904,14
96,0.36498582587990347,41,3.3469284970867834,1.866018369793892,0.04551264316570468,0.18227285146713257,17
97,0.3799230095561005,33,3.030611115914094,1.4237287864089012,0.04314329655784549,0.16976940631866455,11
98,0.3500946993011421,39,3.260410762242717,1.942817572504282,0.04981583519241749,0.16921371221542358,17
99,0.38520492682566543,26,2.979210720748334,1.3482077866792679,0.0518541456415103,0.15887749195098877,10
100,0.38304680273353015,31,3.1135287773954348,1.003667488694191,0.03237637060303842,0.09874969720840454,11
101,0.36178212302292134,36,3.2404324338134054,1.528480052947998,0.042457779248555504,0.16015559434890747,11
102,0.34971639449776837,40,3.3778223076464693,1.8579050600528717,0.046447626501321795,0.18382883071899414,11
103,0.35400471650001236,37,3.1989042373961385,1.8312865048646927,0.04949422986120791,0.17571550607681274,17
104,0.3880194217099687,31,3.016641688056167,1.5917755216360092,0.05134759747212933,0.22028344869613647,7
105,0.357892751502703,35,3.215661590565983,1.4373992085456848,0.041068548815590994,0.16337871551513672,13
106,0.3532720411084655,34,3.1500244459031035,1.7562101185321808,0.05165323878035826,0.24473461508750916,10
107,0.34965802737047214,37,3.2169072916478547,1.747430071234703,0.047227839763100084,0.18810778856277466,16
108,0.36740045582282005,31,2.920264676440003,1.4624619781970978,0.04717619284506767,0.2188941240310669,9
109,0.380146911413508,21,2.5932814106947144,0.9008613377809525,0.042898158941950114,0.11697691679000854,9
110,0.4031815905005437,25,2.8671571096672173,1.3297393769025803,0.05318957507610321,0.18177777528762817,10
111,0.36642019055926234,29,2.9137017877415836,1.558043859899044,0.05372565034134635,0.20955818891525269,8
112,0.39068709310954874,39,3.2628600419705274,1.8803000673651695,0.048212822240132555,0.19071966409683228,15
113,0.36505354862989375,37,3.3007719604860255,1.598333090543747,0.04319819163631748,0.11875522136688232,15
114,0.37011997003387026,39,3.21087331842764,2.0331759117543697,0.05213271568600948,0.19266462326049805,13
115,0.3518300969678638,32,3.2048616931814644,1.3841065615415573,0.043253330048173666,0.11925530433654785,10
116,0.38715548622859386,29,3.0012215316935973,1.4203942716121674,0.04897911281421267,0.15120863914489746,9
117,0.35452082329479717,43,3.4848488356026563,2.0016113817691803,0.046549101901608846,0.1701027750968933,11
118,0.37427513268453627,34,3.087218956856606,1.592942550778389,0.04685125149348203,0.16265630722045898,12
119,0.38677380495988695,31,3.0696180348771,1.416059948503971,0.045679353177547455,0.14559602737426758,8
120,0.39392558059376553,31,3.126361393737078,1.778716340661049,0.057377946472937064,0.1828286051750183,13
121,0.36122488314264517,34,3.162328100873803,1.6774659156799316,0.04933723281411564,0.12653511762619019,12
122,0.3613011877420241,37,3.2946735306172568,2.0511809438467026,0.05543732280666764,0.20155596733093262,16
123,0.37355300874715563,37,3.3132976847147644,1.8660181313753128,0.05043292246960305,0.15576547384262085,16
124,0.3823808652895847,30,3.1638677181244517,1.3299805149435997,0.04433268383145332,0.11480969190597534,6
125,0.33601529609138975,41,3.359925178425349,1.6724090278148651,0.04079046409304549,0.1319255828857422,11
126,0.3674082638989031,40,3.322535207257001,2.10414008051157,0.05260350201278925,0.2048346996307373,13
127,0.33792459930852814,42,3.282969174107101,1.753931611776352,0.04176027647086552,0.1669352650642395,12
128,0.3734017360659256,37,3.1682372520052806,1.5186996459960938,0.04104593637827281,0.15687692165374756,9
129,0.36945234435725816,35,3.1915584357314093,1.555432241410017,0.04444092118314334,0.1613781750202179,13
130,0.3657641187249624,35,3.201944622202739,1.987440973520279,0.056784027814865114,0.1910530924797058,11
131,0.3791457551551441,34,3.2330568303421514,1.2656088694930077,0.03722379027920611,0.10786628723144531,10
132,0.3566455520344963,31,3.050084134842355,1.6667409613728523,0.0537658374636404,0.18416225910186768,10
133,0.37785903960664186,34,3.189792187828169,1.584662340581417,0.04660771589945344,0.15715479850769043,12
134,0.36287191238072464,34,3.1308288778979683,1.3352599143981934,0.03927235042347627,0.16260075569152832,11
135,0.3481508576573662,48,3.45053701436695,2.7271463498473167,0.05681554895515243,0.1931091547012329,17
136,0.3575729099796139,33,3.1349127702470785,1.5074148029088974,0.04567923645178477,0.1662868857383728,9
137,0.35537816411731815,42,3.39549467757931,2.408391162753105,0.05734264673221679,0.17171436548233032,17
